taskID,trialIndex,trialStart,trialEnd,RT,choice,correct,initDirection,endDirection,presenceCP,coherence,viewingDuration,probCP,timeCP,randSeedBase,fixationOn,fixationStart,targetOn,dotsOn,dotsOff,choiceTime,targetOff,fixationOff,feedbackOn,numFrames,tocDotsOn,tocDotsOff
2,887,1211393.69020207,1211400.26102111,1.27455888688564,1,1,0,0,0,60,0.4,0.5,0.2,7792,0.375147769693285,NaN,3.54463929519989,3.7310799730476,4.1209104815498,5.39546936843544,NaN,NaN,NaN,28,3.684127733,4.100615864
2,300,1211400.27308178,1211405.36456642,0.920642064651474,0,1,180,180,0,60,0.5,0.5,0.2,1799,0.182536059757695,NaN,1.97914622933604,2.48762080562301,3.01251531019807,3.93315737484954,NaN,NaN,NaN,36,2.469662504,2.986031446
2,281,1211405.37565358,1211409.3701103,0.859870556974784,0,1,0,180,1,24,0.4,0.5,0.2,73,0.147362929070368,NaN,1.16431208164431,1.57109174272045,1.99482055613771,2.85469111311249,NaN,NaN,NaN,31,1.548836827,1.971030555
2,564,1211409.37864021,1211413.62375425,1.12453992757946,0,1,180,180,0,60,0.2,0.5,0.2,7113,0.127486040815711,NaN,1.22918095602654,1.7715538374614,1.97494366788305,3.09948359546252,NaN,NaN,NaN,17,1.747393225,1.953582374
2,112,1211413.63198212,1211418.11488864,0.875124919693917,0,0,180,0,1,12,0.5,0.5,0.2,1651,0.178955901879817,NaN,1.19590505422093,1.92471861373633,2.45014234236442,3.32526726205833,NaN,NaN,NaN,36,1.892972446,2.420738086
2,279,1211418.12131736,1211422.07929761,0.979441690258682,0,1,0,180,1,12,0.4,0.5,0.2,4120,0.130618397612125,NaN,1.06282178754918,1.4187539909035,1.82553365197964,2.80497534223832,NaN,NaN,NaN,29,1.392239649,1.802955147
2,892,1211422.08246736,1211427.01666764,1.13674513273872,0,0,180,0,1,12,0.5,0.5,0.2,5616,0.135575039777905,NaN,0.915236056782305,2.1355750397779,2.64293868187815,3.77968381461687,NaN,NaN,NaN,35,2.10609683,2.610702862
2,879,1211427.01963763,1211431.73714379,1.99993240251206,1,1,0,0,0,12,0.4,0.5,0.2,3316,0.129929549060762,NaN,0.807895650621504,1.14687870163471,1.57060751505196,3.57053991756402,NaN,NaN,NaN,29,1.126818131,1.543730535
2,351,1211431.74017643,1211436.52510253,1.09077191282995,1,1,0,0,0,12,0.5,0.5,0.2,6353,0.138204529182985,NaN,0.816170630976558,2.03650961397216,2.54324261005968,3.63401452288963,NaN,NaN,NaN,36,2.007809301,2.510828589
2,184,1211436.52803129,1211440.8453619,1.67318255803548,1,0,180,180,0,12,0.1,0.5,0.2,9185,0.128270576009527,NaN,0.874033287866041,1.39945701672696,1.50115193193778,3.17433448997326,NaN,NaN,NaN,11,1.369601215,1.476027468
2,205,1211440.84829561,1211444.09685345,0.743775077397004,1,1,0,0,0,0,0.3,0.5,0.2,648,0.129948940128088,NaN,0.790965889347717,1.02825402491726,1.35028792312369,2.09406300052069,NaN,NaN,NaN,24,1.01152003,1.325676849
2,378,1211444.09974811,1211448.07119732,0.999983385205269,1,0,180,180,0,24,0.2,0.5,0.2,2201,0.132686141412705,NaN,0.776753938058391,1.62421156512573,1.82652303646319,2.82650642166846,NaN,NaN,NaN,17,1.592295223,1.794193698
2,705,1211448.0739332,1211451.67281225,0.914099933346733,0,1,0,180,1,48,0.4,0.5,0.2,8640,0.140514936065301,NaN,0.835430190199986,1.10661663091742,1.53034544433467,2.4444453776814,NaN,NaN,NaN,30,1.081653928,1.505899197
2,624,1211451.67571584,1211455.22634847,1.06714728870429,0,1,180,180,0,60,0.2,0.5,0.2,7195,0.131954697659239,NaN,0.742124189157039,1.13195469765924,1.3353445280809,2.40249181678519,NaN,NaN,NaN,17,1.100205664,1.307374083
2,206,1211455.22909758,1211458.8816956,0.689187346724793,1,0,180,180,0,0,0.3,0.5,0.2,3041,0.137893784558401,NaN,0.7480632760562,1.51077514048666,1.81585988635197,2.50504723307677,NaN,NaN,NaN,24,1.485578062,1.790609578
2,307,1211458.88462652,1211462.58506109,0.749780236976221,1,1,0,0,0,36,0.1,0.5,0.2,4434,0.126431890763342,NaN,0.804397992556915,1.68575392477214,1.80387734924443,2.55365758622065,NaN,NaN,NaN,12,1.658061369,1.771442484
2,276,1211462.58793686,1211466.23662946,0.728786082938313,0,1,180,180,0,60,0.3,0.5,0.2,9829,0.134466542396694,NaN,0.863280101679265,1.45650044060312,1.76158518646844,2.49037126940675,NaN,NaN,NaN,24,1.427694402,1.737745677
2,825,1211466.23935914,1211470.02155709,0.692393854726106,0,0,0,0,0,48,0.4,0.5,0.2,8584,0.127112346701324,NaN,0.77118014334701,1.51694285520352,1.93853300716728,2.63092686189339,NaN,NaN,NaN,29,1.502462202,1.906197029
2,828,1211470.0242358,1211473.78037983,0.879050045507029,1,1,180,0,1,60,0.4,0.5,0.2,7402,0.13670653779991,NaN,0.763825181871653,1.28924891073257,1.72691810736433,2.60596815287136,NaN,NaN,NaN,32,1.258970767,1.690775994
2,632,1211473.783079,1211479.0664816,2.73552218289115,0,0,180,0,1,36,0.3,0.5,0.2,7545,0.12061797385104,NaN,0.747736617922783,1.06977051612921,1.39180441456847,4.12732659745961,NaN,NaN,NaN,24,1.042820807,1.36834056
2,679,1211479.0693043,1211482.40138593,0.766332635655999,1,1,0,0,0,36,0.2,0.5,0.2,8939,0.122527877567336,NaN,0.834392284275964,1.20727364020422,1.41066347062588,2.17699610628188,NaN,NaN,NaN,17,1.177991362,1.386527127
2,899,1211482.40420424,1211486.55744626,0.863014638191089,0,1,0,180,1,60,0.5,0.5,0.2,2751,0.126573959831148,NaN,0.821489213965833,1.60115023097023,2.13918927288614,3.00220391107723,NaN,NaN,NaN,38,1.570765788,2.105012869
2,411,1211486.56028197,1211490.99151612,0.693313596537337,1,1,0,0,0,12,0.5,0.5,0.2,2208,0.135691193630919,NaN,0.86450475291349,2.06789458356798,2.58475603861734,3.27806963515468,NaN,NaN,NaN,37,2.040522669,2.552284325
2,769,1211490.99434133,1211494.76078435,0.732501945225522,1,1,0,0,0,0,0.5,0.5,0.2,5093,0.133747357642278,NaN,1.03205244243145,1.37103549321182,1.87951006949879,2.61201201472431,NaN,NaN,NaN,36,1.34804146,1.854578075
2,690,1211494.76360812,1211499.23719124,1.02597566018812,0,1,180,180,0,24,0.3,0.5,0.2,8582,0.12716615293175,NaN,0.771233949577436,1.99157293257304,2.29665767843835,3.32263333862647,NaN,NaN,NaN,24,1.968324581,2.272677125
2,357,1211499.24012672,1211503.65806128,0.975486358860508,0,0,0,0,0,48,0.5,0.5,0.2,260,0.125250942306593,NaN,0.955759416799992,1.78626789152622,2.29474246781319,3.2702288266737,NaN,NaN,NaN,37,1.753850606,2.266421211
2,891,1211503.66084798,1211507.844268,1.15054895333014,1,0,0,180,1,12,0.5,0.5,0.2,135,0.128248076653108,NaN,0.992654856294394,1.36553621222265,1.89095994108357,3.04150889441371,NaN,NaN,NaN,38,1.340907117,1.865605947
2,554,1211507.84695565,1211511.31275082,0.963109240867198,0,1,180,180,0,0,0.2,0.5,0.2,6514,0.128566031111404,NaN,0.840430438052863,1.1285660311114,1.34812318044715,2.31123242131434,NaN,NaN,NaN,17,1.111429369,1.315707207
2,341,1211511.31539784,1211515.04884841,0.733187918085605,0,1,0,180,1,24,0.4,0.5,0.2,3760,0.133943228982389,NaN,0.947502550901845,1.42207882227376,1.84580763569102,2.57899555377662,NaN,NaN,NaN,30,1.391883879,1.817304551
2,785,1211515.05148443,1211519.17257242,0.784390662563965,1,1,0,0,0,24,0.1,0.5,0.2,1066,0.12667029723525,NaN,0.855483856517822,2.07582283951342,2.19446690729819,2.97885756986216,NaN,NaN,NaN,11,2.056431651,2.167983997
2,436,1211519.17532913,1211522.44043717,0.701429067645222,1,0,180,180,0,12,0.2,0.5,0.2,8791,0.121468293014914,NaN,0.833332699723542,1.18926490331069,1.40960388630629,2.11103295395151,NaN,NaN,NaN,17,1.168215683,1.380133867
2,50,1211522.44308922,1211526.74478065,0.835867614252493,0,1,180,180,0,0,0.5,0.5,0.2,9437,0.124851694097742,NaN,0.785868643317372,1.80281779565848,2.31129237194546,3.14715998619795,NaN,NaN,NaN,35,1.780631857,2.28248069
